Jun 14 15:26:05 localhost sudo[1573]: oguzhan : TTY=pts/0 ; PWD=/ ; USER=root ; COMMAND=/bin/cd root/
Jun 19 18:57:32 virtual1 sudo[101637]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan/development ; USER=root ; COMMAND=/sbin/visudo
Jun 19 19:01:13 virtual1 sudo[101841]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan ; USER=root ; COMMAND=/bin/cp -a /home/oguzhan/ /home/oZ
Jun 19 19:01:17 virtual1 sudo[101847]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan ; USER=root ; COMMAND=/bin/cp -a /home/oguzhan/ /home/oZ/
Jun 19 19:01:42 virtual1 sudo[101873]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan ; USER=root ; COMMAND=/bin/cp -r /home/oguzhan/development/ /home/oZ/
Jun 19 19:03:01 virtual1 sudo[101965]:      oZ : TTY=pts/0 ; PWD=/home/oZ ; USER=root ; COMMAND=/bin/rm oguzhan/ -r
Jun 19 19:16:15 virtual1 sudo[102543]:      oZ : TTY=pts/0 ; PWD=/home/oZ/development/sudo-logging ; USER=root ; COMMAND=/bin/chmod 777 sudo-logger.py
Jun 19 19:19:03 virtual1 sudo[102682]:      oZ : TTY=pts/0 ; PWD=/home/oZ/development ; USER=root ; COMMAND=/bin/touch log.log
Jun 19 19:19:25 virtual1 sudo[102707]:      oZ : TTY=pts/0 ; PWD=/home/oZ/development ; USER=root ; COMMAND=/bin/chmod 777 log.log
Jun 19 19:22:42 virtual1 sudo[102898]:      oZ : TTY=pts/0 ; PWD=/home/oZ/development/sudo-logging ; USER=root ; COMMAND=/bin/python3 sudo-logger.py
Jun 19 19:28:09 virtual1 sudo[103145]:      oZ : TTY=pts/0 ; PWD=/home/oZ/development ; USER=root ; COMMAND=/bin/cp -r /home/oZ/development/ /home/oguzhan/fromOz
Jun 19 19:39:03 virtual1 sudo[103684]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan/fromOz/sudo-logging ; USER=root ; COMMAND=/bin/touch sudosu.py
Jun 19 19:40:06 virtual1 sudo[103752]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan/fromOz/sudo-logging ; USER=root ; COMMAND=/bin/chmod 777 sudosu.py
Jun 19 19:41:42 virtual1 sudo[103869]: oguzhan : TTY=pts/0 ; PWD=/home/oguzhan/fromOz/sudo-logging ; USER=root ; COMMAND=/bin/python3 sudosu.py
